,delta ,theta ,alpha ,beta ,gamma
mean,0.682981296235746,0.675216968164303,0.621615217653785,0.746178996502419,0.686288248964232
Std Dev,0.0923498497989238,0.0646133899802713,0.085643612231581,0.308103040841617,0.34105613296766

Right Ear_Mathilde_Mathilde_Chine4
min,0.138579770437187,0.186736591794928,0.205745730272227,0.175655714006543,0.0721026285404669
Q1,0.298318078853684,0.334111458414626,0.394385803101172,0.261780067584556,0.285393464399895
Q2,0.354766025138585,0.421807355253537,0.551351367089788,0.297809975914026,0.331919019150179
Q3,0.458512743768286,0.50657588889772,0.623488845505165,0.339328827060906,0.362543908285313
max,0.643104699775402,0.712007331612742,0.803326669547206,0.525469861759948,0.476238797379858
mean,0.369857578290501,0.424109552480702,0.519317598076277,0.307039861500811,0.322140958067802
Std Dev,0.105308030895117,0.115196026622325,0.148708686364315,0.0721356267570716,0.072719692917038

