,delta ,theta ,alpha ,beta ,gamma
Q3,0.674201638465606,0.663006905444844,0.580030834793833,0.453085049119251,0.582643307580782
max,0.8520769989599,0.875279896123084,0.832379799040026,0.765502687171135,0.904277041865175
mean,0.465101323280382,0.450564308597202,0.4065027565763,0.400910413788542,0.510448880389605
Std Dev,0.237795632205385,0.240020617119325,0.225763362945584,0.129600275276819,0.122584064138622

Right Ear_Mathilde_Mathilde_Guinee4
min,0.131751491221376,0.304368633553083,0.277813769975136,0.211828779871757,0.326008985381863
Q1,0.360698097883152,0.457219098521196,0.438412414340674,0.380660108550079,0.471144881110564
Q2,0.43010199903382,0.542239085501966,0.530422482497596,0.434938568397532,0.518759111321351
Q3,0.648284338357443,0.649877904510855,0.630147308230951,0.543524019560471,0.569976863280446
max,0.798854923245658,0.84105658966643,0.817639246399515,0.764488116684775,0.816969359573643
mean,0.487514217603633,0.561593601708715,0.535458648300831,0.456534397996244,0.53187613498509
Std Dev,0.171332331332943,0.137413495153929,0.13976616819102,0.126152230336192,0.1077707711446

