,delta ,theta ,alpha ,beta ,gamma
Q2,0.523900602541845,0.460543716634422,0.511512944774553,0.561053972552352,0.411331909723069
Q3,0.594297282203081,0.525983765379624,0.603036412284558,0.628205561668421,0.453823818609805
max,0.840562188531794,0.704472909056978,0.696452087077045,0.818816431171599,0.604629958545794
mean,0.538090481659906,0.47276616770392,0.517794602394828,0.568658848290414,0.408937915573678
Std Dev,0.131334177251417,0.0857748236020121,0.102420523975243,0.0918803692990335,0.0667550972008528

Right Ear_Chaikou_Chaikou_France4
min,0.114829838892052,0,0.0766283983215479,0.120978694461004,0.00261642576931171
Q1,0.227251180655269,0.220924591250731,0.274267659385279,0.257626108243173,0.161775476306002
Q2,0.292800993777259,0.292544983670261,0.377254157253958,0.316140515404422,0.200501618103479
Q3,0.37122824621643,0.356423568595093,0.455811901187493,0.384148476046727,0.231733193811282
max,0.633628828287965,0.662778208597088,0.705190554388833,0.542543933359547,0.373571867214707
mean,0.306452850028836,0.297906628767084,0.384497570938497,0.320751958259396,0.196613332681505
Std Dev,0.107497123715052,0.139676810383312,0.156007115611906,0.088227316183155,0.073919712834936

