,delta ,theta ,alpha ,beta ,gamma
max,0.47860774,-0.02339077,0.40763786,-0.169111,-0.370993
mean,-0.217404271,-0.44192741,-0.0728593442183333,-0.452633546666667,-0.928108488333333
Std Dev,0.326861770121808,0.181111364098462,0.200723292989113,0.113930481639563,0.180209183391621

Right Ear_Tristan_Tristan_Guinee4
min,-0.02460519,-0.011332562,0.6265704,-0.05547685,-0.8223477
Q1,0.6542419,0.3575450075,1.064326275,0.08021262,-0.61393857
Q2,1.1050653,0.7001849,1.22261815,0.16691011,-0.250993745
Q3,1.388530325,0.9839083025,1.311916175,0.2343726925,-0.06067356825
max,1.7779227,1.2991906,1.7145725,0.5687473,0.6134685
mean,1.02743908116667,0.668281133866667,1.20716351833333,0.183470895183333,-0.276543453466667
Std Dev,0.49669071577288,0.361917029722776,0.192312422540951,0.148890485964785,0.348868765159824

