,delta ,theta ,alpha ,beta ,gamma
Q2,-0.13547032,-0.38307628,-0.12894928,-0.4529736,-0.9834472
Q3,0.142760165,-0.2915785,-0.056437914,-0.3892362,-0.82906945
max,0.9790514,0.5292219,0.7685627,-0.1216489,-0.4584168
mean,-0.0929545742372881,-0.388591737457627,-0.0767542271525424,-0.459949123728814,-0.932771401694915
Std Dev,0.384040578123546,0.227126458134652,0.237935274354926,0.139539262962457,0.167232944027724

Right Ear_Tristan_Tristan_Maghreb4
min,-0.03676578,-0.09521976,0.7810686,-0.17663771,-0.67199767
Q1,0.580869,0.252534155,1.01319875,0.0336942905,-0.47978173
Q2,1.0875363,0.62850845,1.181641,0.10962005,-0.37225625
Q3,1.3514998,0.900908085,1.3007999,0.201449475,-0.27204482
max,1.9308246,1.3693424,1.5926644,0.43230298,0.11106443
mean,1.00630785711864,0.605817461737288,1.1670502440678,0.115522484983051,-0.373898166779661
Std Dev,0.475436267463756,0.422391953018596,0.204631246345135,0.120264874625835,0.149420425374903

