,delta ,theta ,alpha ,beta ,gamma
Std Dev,0.191187790091382,0.167272096276182,0.0814513340897332,0.0816155883362619,0.0807925324651085

Right Forehead_Tristan_Tristan_Maghreb4
min,0.0308816721302094,0.123017106715764,0.0792270413482035,0,0
Q1,0.128321331451537,0.21585546679346,0.154866830509428,0.163154708179402,0.0764423412429964
Q2,0.210036382863829,0.272003507726257,0.186764102297492,0.221304240201987,0.111408882429672
Q3,0.305146187613719,0.308772498345958,0.216391584766941,0.260193233832266,0.191359294636297
max,0.591022467759275,0.638616590828281,0.553479307380938,0.423460025468632,0.383315921501099
mean,0.224569888343243,0.269787084513334,0.208090524602514,0.217048166093886,0.137653279458333
Std Dev,0.131279735221556,0.0912722757714894,0.0972181819028784,0.0851390472237786,0.0866079652640609

Right Ear_Tristan_Tristan_Maghreb4
min,0.243777363933275,0.387680562226376,0.558589104002542,0.389908931733609,0.272704913140442
Q1,0.45490851777697,0.527427782744726,0.653435365066713,0.518241744614091,0.372251276756207
Q2,0.628106749365984,0.678515550405361,0.722259331353455,0.564567392939401,0.427937452054883
Q3,0.718339553819808,0.787981153003862,0.770946570548878,0.620596567708018,0.479835767299893
max,0.916374893530223,0.976224593819381,0.890199741937272,0.761450453895291,0.67824352008597
mean,0.600339765663306,0.669397026058831,0.716297681622606,0.568168728363485,0.427087122759743
Std Dev,0.162522272027431,0.169741011840704,0.0836104599628154,0.0733788943896432,0.0773830723715865

