,delta ,theta ,alpha ,beta ,gamma
Std Dev,0.646491904050449,0.348022841480509,0.211749955868124,0.114943786231536,0.110373939763273

Right Ear_Geoffrey_Geoffrey_Guinee4
min,-0.23338312,-0.29270133,0.09364542,-0.13520889,-0.70756716
Q1,-0.03434127675,0.1318029975,0.694600475,0.076994385,-0.3106735525
Q2,0.12803947,0.256050125,0.97194363,0.19146228,-0.17459163
Q3,0.44867504,0.3843343175,1.084378,0.268366815,-0.02794953975
max,1.8882484,0.7335423,1.3843296,0.9867225,1.0974092
mean,0.289595021945455,0.250015487121212,0.90080625530303,0.214160852257576,-0.139214316575758
Std Dev,0.444662231412201,0.211973386309378,0.263994441636935,0.233012705652529,0.316705759089893

