,delta ,theta ,alpha ,beta ,gamma
Std Dev,0.100764018920723,0.0702807773416634,0.106387291892986,0.0429169824288061,0.0402305262076875

Right Forehead_Thomas_Thomas_Vietnam4
min,0.110800360085724,0.0845215414539827,0.120208870629778,0.138505667275417,0.243896898527079
Q1,0.205041184577359,0.187808115397051,0.214392373519567,0.272369765045945,0.387779578408285
Q2,0.290872629820592,0.241117283849011,0.283884156819377,0.306308151419018,0.440024817004844
Q3,0.347511313717442,0.2926046631002,0.336702400049931,0.338852658847277,0.469530425977434
max,0.56691680448574,0.538237936369195,0.761061694595119,0.405365049201184,0.56807904957854
mean,0.294416597073882,0.250014442608844,0.299563123120352,0.302110434959368,0.428017911900168
Std Dev,0.103526235816145,0.0999016824665171,0.120457266084455,0.0544889410626985,0.0621776668794029

Right Ear_Thomas_Thomas_Vietnam4
min,0.187498663538837,0.190274482887553,0.304099999728852,0.375495999213069,0.403879035557425
Q1,0.327664174415739,0.330234870065556,0.462071364600492,0.440371571309384,0.484640012986577
Q2,0.500521998177542,0.39019121747869,0.524540810193412,0.475623844078821,0.5207756055349
Q3,0.604396056342136,0.448547781545411,0.645087283170412,0.519088241873333,0.567949910860371
max,0.778633456347053,0.729862221927199,1,0.650731561217826,0.705463547102822
mean,0.479119680581625,0.397451064197018,0.552845946436944,0.479360464478165,0.523751114112733
Std Dev,0.169974759096718,0.0926941425330454,0.142661799308184,0.0558520486374244,0.0621627023908228

