,delta ,theta ,alpha ,beta ,gamma
Q2,0.587663991213258,0.596927233831762,0.61270134367271,0.711186666068241,0.466907216555646
Q3,0.744302446870696,0.704960909867209,0.695240311516508,0.74555853087854,0.487398825339883
max,0.903320024252941,0.987750418151591,0.793082803225764,0.843068595172335,0.633877823316586
mean,0.618524864256866,0.599651872899053,0.610256920974211,0.692726977165856,0.453168348454442
Std Dev,0.147687150829436,0.157999671395284,0.1085026522362,0.0855279363142427,0.0612376113906062

Right Forehead_Sohaib_Sohaib_Vietnam4
min,0.146189962345145,0,0.057441776562418,0,0
Q1,0.292706330193421,0.156960508869687,0.231323525130186,0.194355692627372,0.0674641735741578
Q2,0.438942954675849,0.286303567973811,0.353072503657422,0.248735545560435,0.110455294817042
Q3,0.616120613950025,0.611735546199206,0.537886458663849,0.340089213970802,0.148992440749964
max,1,0.990169860204797,0.882911024450997,0.536931082755568,0.280206332218541
mean,0.464877788992689,0.379655938983074,0.397591562359675,0.267155410206901,0.113323742334421
Std Dev,0.215317444553251,0.279816707631206,0.195430453151222,0.118290477210745,0.0557986254553834

Right Ear_Sohaib_Sohaib_Vietnam4
min,0.179748046103055,0.140811163038364,0.201964340387196,0.298165652455919,0.217873614930403
Q1,0.34412014226688,0.309205351359127,0.42125547917935,0.408938302803736,0.273164731179921
Q2,0.445446235344313,0.464047841032284,0.522864299941826,0.495481861799598,0.300311820046914
Q3,0.562988587252885,0.577734516791561,0.620263964918417,0.5470731392055,0.36029311851108
max,0.806871561201686,0.914595657989297,0.907064198355518,0.744676439085176,0.549263502929573
mean,0.459321162928901,0.470161704942143,0.542346917803693,0.494598082595778,0.325156417449329
Std Dev,0.145936175876138,0.184424844884392,0.164448034843503,0.096106691920015,0.0791325949138433

